epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,95046.5,1.48092,0.65365,0.00453,0.88118,0.87321,0.89618,0.42573,1.60335,0.65733,0.00591,0.000297226,0.000297226,0.000297226
85,96441.7,1.48544,0.64999,0.00448,0.87735,0.87018,0.89678,0.42749,1.59747,0.65513,0.00587,0.000280723,0.000280723,0.000280723
86,98086.9,1.49544,0.63986,0.0044,0.88695,0.86412,0.89524,0.42365,1.61278,0.62969,0.00592,0.00026422,0.00026422,0.00026422
87,99599,1.48466,0.64058,0.00439,0.87195,0.86915,0.88465,0.42436,1.60645,0.64237,0.00591,0.000247716,0.000247716,0.000247716
88,101109,1.48883,0.63531,0.00451,0.87275,0.86721,0.882,0.42292,1.61037,0.63652,0.00591,0.000231213,0.000231213,0.000231213
89,102354,1.45855,0.63019,0.00451,0.86505,0.87342,0.88026,0.42458,1.60102,0.65186,0.0059,0.00021471,0.00021471,0.00021471
90,104030,1.45693,0.62267,0.00445,0.86481,0.87127,0.87371,0.41774,1.61531,0.64132,0.00595,0.000198206,0.000198206,0.000198206
91,105732,1.39333,0.51738,0.00501,0.86607,0.86113,0.87339,0.4126,1.62613,0.63945,0.00598,0.000181703,0.000181703,0.000181703
92,107380,1.39057,0.51505,0.00503,0.87503,0.86701,0.87615,0.41288,1.62528,0.64912,0.00599,0.0001652,0.0001652,0.0001652
93,110419,1.38493,0.51034,0.00503,0.87462,0.8679,0.88022,0.41862,1.62086,0.64299,0.00596,0.000148696,0.000148696,0.000148696
94,112605,1.3665,0.49993,0.00492,0.87391,0.86997,0.8765,0.41457,1.61435,0.65524,0.00595,0.000132193,0.000132193,0.000132193
95,114407,1.3662,0.49728,0.00488,0.8693,0.86627,0.86711,0.41502,1.62429,0.64361,0.00599,0.00011569,0.00011569,0.00011569
96,115591,1.37588,0.50582,0.00485,0.87924,0.86646,0.87387,0.41644,1.6211,0.64774,0.00597,9.91865e-05,9.91865e-05,9.91865e-05
97,118639,1.36232,0.50125,0.00491,0.87517,0.87209,0.87949,0.41664,1.62056,0.65304,0.00597,8.26832e-05,8.26832e-05,8.26832e-05
98,120235,1.36276,0.49711,0.00488,0.88442,0.86856,0.88143,0.41554,1.62592,0.65018,0.00599,6.61799e-05,6.61799e-05,6.61799e-05
99,122607,1.33727,0.48505,0.0047,0.88205,0.86846,0.88249,0.41716,1.62758,0.64169,0.006,4.96766e-05,4.96766e-05,4.96766e-05
100,123963,1.35984,0.48714,0.00482,0.88652,0.86772,0.88097,0.41609,1.63183,0.63765,0.00601,3.31733e-05,3.31733e-05,3.31733e-05
